team,rating
France,1877
Spain,1876
Argentina,1874
England,1825
Portugal,1763
Brazil,1761
Netherlands,1757
Morocco,1755
Belgium,1734
Germany,1730
Croatia,1717
Colombia,1693
Senegal,1688
Mexico,1681
USA,1673
Uruguay,1673
Japan,1660
Switzerland,1649
Iran,1615
Turkey,1599
Ecuador,1594
Austria,1593
South Korea,1588
Australia,1580
Algeria,1564
Egypt,1563
Canada,1556
Norway,1550
Panama,1540
Ivory Coast,1532
Sweden,1514
Paraguay,1503
Czechia,1501
Scotland,1498
Tunisia,1483
DR Congo,1478
Uzbekistan,1465
Qatar,1454
Iraq,1447
South Africa,1429
Saudi Arabia,1421
Jordan,1391
Bosnia and Herzegovina,1385
Cape Verde,1366
Ghana,1346
Curacao,1294
Haiti,1291
New Zealand,1281
